City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Munich,1972,Athletics,Athletics,"MANN, Ralph Vernon",USA,Men,400m hurdles,M,Silver
Munich,1972,Athletics,Athletics,"EHL, Klaus",FRG,Men,4x100m relay,M,Bronze
Munich,1972,Athletics,Athletics,"HIRSCHT, Jobst",FRG,Men,4x100m relay,M,Bronze
Munich,1972,Athletics,Athletics,"KLOTZ, Karlheinz",FRG,Men,4x100m relay,M,Bronze
Munich,1972,Athletics,Athletics,"WUCHERER, Gerhard",FRG,Men,4x100m relay,M,Bronze
Munich,1972,Athletics,Athletics,"BLACK, Lawrence J.",USA,Men,4x100m relay,M,Gold
Munich,1972,Athletics,Athletics,"HART, Edward James",USA,Men,4x100m relay,M,Gold
Munich,1972,Athletics,Athletics,"TAYLOR, Robert",USA,Men,4x100m relay,M,Gold
Munich,1972,Athletics,Athletics,"TINKER, Gerald A.",USA,Men,4x100m relay,M,Gold
Munich,1972,Athletics,Athletics,"BORZOV, Valery",URS,Men,4x100m relay,M,Silver
Munich,1972,Athletics,Athletics,"KORNELYUK, Aleksandr",URS,Men,4x100m relay,M,Silver
Munich,1972,Athletics,Athletics,"LOVETSKY, Vladimir",URS,Men,4x100m relay,M,Silver
Munich,1972,Athletics,Athletics,"SILOVS, Yuris",URS,Men,4x100m relay,M,Silver
Munich,1972,Athletics,Athletics,"CHIVAS BARO, Silvia",CUB,Women,4x100m relay,W,Bronze
Munich,1972,Athletics,Athletics,"ELEJALDE DIAZ, Marlene",CUB,Women,4x100m relay,W,Bronze
Munich,1972,Athletics,Athletics,"ROMAY MARTINEZ, Fulgencia",CUB,Women,4x100m relay,W,Bronze
Munich,1972,Athletics,Athletics,"VALDES CAPOTE, Carmen",CUB,Women,4x100m relay,W,Bronze
Munich,1972,Athletics,Athletics,"BECKER-MICKLER, Ingrid",FRG,Women,4x100m relay,W,Gold
Munich,1972,Athletics,Athletics,"KRAUSE, Christiane",FRG,Women,4x100m relay,W,Gold
Munich,1972,Athletics,Athletics,"RICHTER-IRRGANG, Annegret",FRG,Women,4x100m relay,W,Gold
Munich,1972,Athletics,Athletics,"ROSENDAHL, Heidemarie",FRG,Women,4x100m relay,W,Gold
Munich,1972,Athletics,Athletics,"HEINICH, Christina",GDR,Women,4x100m relay,W,Silver
Munich,1972,Athletics,Athletics,"KAUFER, Evelyn",GDR,Women,4x100m relay,W,Silver
Munich,1972,Athletics,Athletics,"STECHER, Renate",GDR,Women,4x100m relay,W,Silver
Munich,1972,Athletics,Athletics,"STRUPPERT, Bärbel",GDR,Women,4x100m relay,W,Silver
Munich,1972,Athletics,Athletics,"BERTOULD, Gilles",FRA,Men,4x400m relay,M,Bronze
Munich,1972,Athletics,Athletics,"CARETTE, Jacques",FRA,Men,4x400m relay,M,Bronze
Munich,1972,Athletics,Athletics,"KERBIROU, Francis",FRA,Men,4x400m relay,M,Bronze
Munich,1972,Athletics,Athletics,"VELASQUES, Daniel Roger",FRA,Men,4x400m relay,M,Bronze
Munich,1972,Athletics,Athletics,"ASATI, Charles",KEN,Men,4x400m relay,M,Gold
Munich,1972,Athletics,Athletics,"NYAMAU, Hezekiah Munyoro",KEN,Men,4x400m relay,M,Gold
Munich,1972,Athletics,Athletics,"OUKO, Robert",KEN,Men,4x400m relay,M,Gold
Munich,1972,Athletics,Athletics,"SANG, Julius",KEN,Men,4x400m relay,M,Gold
Munich,1972,Athletics,Athletics,"HEMERY, David Peter",GBR,Men,4x400m relay,M,Silver
Munich,1972,Athletics,Athletics,"JENKINS, David Andrew",GBR,Men,4x400m relay,M,Silver
Munich,1972,Athletics,Athletics,"PASCOE, Alan Peter",GBR,Men,4x400m relay,M,Silver
Munich,1972,Athletics,Athletics,"REYNOLDS, Martin Edward",GBR,Men,4x400m relay,M,Silver
Munich,1972,Athletics,Athletics,"BÖDDING-ECKHOFF, Inge",FRG,Women,4x400m relay,W,Bronze
Munich,1972,Athletics,Athletics,"FALCK-JANZE, Hildegard",FRG,Women,4x400m relay,W,Bronze
Munich,1972,Athletics,Athletics,"RÜCKES, Anette",FRG,Women,4x400m relay,W,Bronze
Munich,1972,Athletics,Athletics,"WILDEN-JAHN, Rita",FRG,Women,4x400m relay,W,Bronze
Munich,1972,Athletics,Athletics,"KÄSLING, Dagmar",GDR,Women,4x400m relay,W,Gold
